"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"TC","1",1,"Dépenses de fonctionnement","Operating expenditures","672,244,094","646,967,841","626,321,153","594,715,998","672,244,094","646,967,841","626,321,153","594,715,998","618,805,104","525,163,050"
"TC","5",2,"Dépenses en capital","Capital expenditures","225,388,258","84,428,378","93,857,621","69,167,107","225,388,258","84,428,378","93,857,621","69,167,107","106,272,716","58,206,527"
"TC","10",3,"Subventions et contributions","Grants and contributions","850,176,749","351,197,635","721,222,520","365,023,967","850,176,749","351,197,635","721,222,520","365,023,967","1,189,132,620","545,162,984"
"TC",17,4,"Conformément à l'article 24.1 de la Loi sur la gestion des finances publiques, renoncer à certaines dettes et à certains intérêts courus dus à Sa Majesté du chef du Canada totalisant 22 646 108 $ à l'égard de l'Administration du pont du port de Saint John","Pursuant to section 24.1 of the Financial Administration Act, to forgive certain debts and accrued interest due to Her Majesty in Right of Canada amounting to $22,646,108 relating to the Saint John Harbour Bridge Authority",0,0,"22,646,108","22,646,108",0,0,"22,646,108","22,646,108",0,0
"TC","(S)",999,"Ministre des Transports, de l'Infrastructure et des Collectivités et ministre de l'Agence de développement économique du Canada pour les régions du Québec -Traitement et allocation pour automobile","Minister of Transport, Infrastructure and Communities and Minister of the Economic Development Agency of Canada for the Regions of Quebec -Salary and motor car allowance","77,638","77,638","75,325","75,325","77,638","77,638","75,325","75,325","77,516","77,516"
"TC","(S)",999,"Ministre d'État-Allocation pour automobile","Minister of State-Motor car allowance","2,122","2,122","2,021","2,021","2,122","2,122","2,021","2,021","2,000","2,000"
"TC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",0,0,0,0,0,0,0,0,63,63
"TC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","7,116,858","2,433,696","9,030,166","9,030,166","7,116,858","2,433,696","9,030,166","9,030,166","3,633,839",0
"TC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","75,855,369","75,855,369","74,921,497","74,921,497","75,855,369","75,855,369","74,921,497","74,921,497","71,177,863","71,177,863"
"TC","(S)",999,"Versements à la Compagnie des chemins de fer nationaux du Canada à l'égard de l'abolition des péages sur le pont Victoria à Montréal, et pour la réfection de la voie de circulation du pont","Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the roadway portion of the bridge","2,041,239","2,041,239","2,584,026","2,584,026","2,041,239","2,041,239","2,584,026","2,584,026","2,279,260","2,279,260"
"TC","(S)",999,"Paiement de subvention pour l'ouvrage de franchissement du détroit de Northumberland selon la Loi sur l'ouvrage de franchissement du détroit de Northumberland","Northumberland strait crossing subsidy payment under the Northumberland Strait Crossing Act","57,721,021","57,721,021","59,075,229","59,075,229","57,721,021","57,721,021","59,075,229","59,075,229","60,529,578","60,529,578"
"TC","(S)",999,"Paiements versés conformément aux ententes de la Voie maritime du Saint-Laurent conclues dans le cadre de la Loi maritime du Canada","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act","67,272,663","67,272,663","83,949,521","83,949,521","67,272,663","67,272,663","83,949,521","83,949,521","69,879,328","69,879,328"
"CAT","55",1,"Dépenses du programme","Program expenditures","1,664,362","1,611,161","1,730,188","1,730,023","1,664,362","1,611,161","1,730,188","1,730,023","1,534,899","1,461,403"
"CAT","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",0,0,0,0,0,0,0,0,39,0
"CAT","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","120,843","120,843","126,182","126,182","120,843","120,843","126,182","126,182","123,514","123,514"
"TBC","1",1,"Dépenses du programme","Program expenditures","262,655,826","254,958,502","299,631,271","279,490,244","262,655,826","254,958,502","299,631,271","279,490,244","255,132,091","231,877,492"
"TBC","5",6,"Éventualités du gouvernement","Government contingencies","230,667,641",0,"750,000,000",0,"230,667,641",0,"750,000,000",0,"750,000,000",0
"TBC","10",6,"Initiatives pangouvernementales","Government-wide initiatives","6,562,893",0,"8,510,893",0,"6,562,893",0,"8,510,893",0,"2,093,000",0
"TBC","15",6,"Rajustements à la rémunération","Compensation adjustments",0,0,0,0,0,0,0,0,0,0
"TBC","20",6,"Assurances de la fonction publique","Public Service Insurance","2,223,793,511","1,962,746,056","2,380,408,439","2,186,595,248","2,223,793,511","1,962,746,056","2,380,408,439","2,186,595,248","2,277,219,568","2,057,349,583"
"TBC","25",6,"Report du budget de fonctionnement","Operating budget carry forward","128,041,265",0,"8,060,710",0,"128,041,265",0,"8,060,710",0,0,0
"TBC","30",6,"Besoins en matière de rémunération","Paylist requirements","175,324,277",0,"361,781,109",0,"175,324,277",0,"361,781,109",0,"26,193,198",0
"TBC","33",6,"Report du budget des dépenses en capital","Capital budget carry forward",0,0,"241,898,646",0,0,0,"241,898,646",0,"219,655,751",0
"TBC","(S)",999,"Président du Conseil du Trésor et  Ministre de la porte d'entrée de l'initiative Fédérale du développement économique pour le Nord de l'Ontario - Traitement et allocation pour automobile","President of the Treasury Board and Minister for the Federal economic development initiative for Northern Ontario - Salary and motor car allowance","77,638","77,638","77,555","77,555","77,638","77,638","77,555","77,555","77,516","77,516"
"TBC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",973,0,"24,409",0,973,0,"24,409",0,"25,233",0
"TBC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","30,465,702","30,465,702","32,071,416","32,071,416","30,465,702","30,465,702","32,071,416","32,071,416","29,698,196","29,698,196"
"TBC","(S)",999,"Contributions de l'employeur en vertu de la Loi sur la pension de la fonction publique et d'autres lois sur la pension de retraite et de la Loi sur l'assurance-emploi","Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act ","6,200,000","6,200,000","6,200,000","6,200,000","6,200,000","6,200,000","6,200,000","6,200,000","443,000,000","443,000,000"
"TBC","(S)",999,"Versements en vertu de la Loi sur la mise au point des pensions du service public","Payments under the Public Service Pension Adjustment Act","1,830","1,830","1,552","1,552","1,830","1,830","1,552","1,552","1,046","1,046"
"TBC","(S)",999,"Paiements au titre de l'entente sur la parité salariale conformément à l'article 30 de la Loi sur la responsabilité civile de l'État et le contentieux administratif","Payments for the pay equity settlement pursuant to section 30 of the Crown Liability and Proceedings Act","-469,692","-469,692","72,162","72,162","-469,692","-469,692","72,162","72,162","22,180","22,180"
"VAC","1",1,"Dépenses de fonctionnement","Operating expenditures","945,195,200","912,328,739","999,784,056","941,565,911","945,195,200","912,328,739","999,784,056","941,565,911","911,939,168","865,590,436"
"VAC","5",3,"Subventions et contributions","Grants and contributions","2,554,705,000","2,546,405,035","2,624,930,000","2,511,656,858","2,554,705,000","2,546,405,035","2,624,930,000","2,511,656,858","2,705,510,200","2,578,927,410"
"VAC","(S)",999,"Ministre des Anciens Combattants -Traitement et allocation pour automobile","Minister of Veterans Affairs - Salary and motor car allowance","77,638","77,638","77,516","77,516","77,638","77,638","77,516","77,516","77,516","77,516"
"VAC","(S)",999,"Montants adjugés par une cour","Court awards","20,016","20,016","24,190","24,190","20,016","20,016","24,190","24,190","21,184","21,184"
"VAC","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","132,825","132,825","66,707","66,707","132,825","132,825","66,707","66,707","144,679","144,679"
"VAC","(S)",999,"Pertes sur opérations de change","Losses on foreign exchange",0,0,0,0,0,0,0,0,"1,548","1,548"
"VAC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","19,425","19,425","21,257","15,257","19,425","19,425","21,257","15,257","26,920","26,920"
"VAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","44,256,549","44,256,549","43,663,674","43,663,674","44,256,549","44,256,549","43,663,674","43,663,674","41,436,223","41,436,223"
"VAC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","1,691,484","1,691,484",0,0,"1,691,484","1,691,484",0,0,0,0
"VAC","(S)",999,"Rajustement des engagements actuariels de l'assurance des anciens combattants","Veterans insurance actuarial liability adjustment","62,699","62,699","17,137","17,137","62,699","62,699","17,137","17,137",0,0
"VAC","(S)",999,"Rajustement des engagements actuariels de l'assurance des soldats de retour au pays","Returned soldiers insurance actuarial liability adjustment","1,302","1,302",0,0,"1,302","1,302",0,0,"1,925","1,925"
"VAC","(S)",999,"Crédits de réadaptation en vertu de l'article 8 de la Loi sur les indemnités de service de guerre","Re-establishment credits under section 8 of the War Service Grants Act",0,0,0,0,0,0,0,0,0,0
"VAC","(S)",999,"Remboursements, en vertu de l'article 15 de la Loi sur les indemnités de service de guerre, de redressements de compensation effectués en conformité avec la Loi sur les terres destinées aux anciens combattants","Repayments under section 15 of the War Service Grants Act of compensating adjustments made in accordance with the terms of the Veterans' Land Act",0,0,0,0,0,0,0,0,0,0
"VRAB","10",1,"Dépenses du programme","Program expenditures","10,406,203","10,399,375","11,231,700","11,060,985","10,406,203","10,399,375","11,231,700","11,060,985","10,685,275","10,354,058"
"VRAB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans",0,0,"1,685,313","1,685,313",0,0,"1,685,313","1,685,313","1,609,413","1,609,413"
"VIA","60",5,"Paiements à VIA Rail Canada Inc.","Payments to VIA Rail Canada Inc.","644,521,000","527,200,000","556,309,000","493,795,244","644,521,000","527,200,000","556,309,000","493,795,244","475,651,000","419,958,000"
"WDO","1",1,"Dépenses de fonctionnement","Operating expenditures","60,297,506","54,474,589","52,283,212","48,751,070","60,297,506","54,474,589","52,283,212","48,751,070","47,430,024","42,550,526"
"WDO","5",3,"Subventions et contributions","Grants and contributions","405,316,374","387,357,691","155,097,519","135,846,496","405,316,374","387,357,691","155,097,519","135,846,496","142,147,747","130,983,719"
"WDO","(S)",999,"Ministre d'état-Allocation pour automobile","Minister of State-Motor car allowance","2,122","2,122","2,020","2,020","2,122","2,122","2,020","2,020","2,000","2,000"
"WDO","(S)",999,"Honoraires - Agence de recouvrement","Collection agency fees",207,207,0,0,207,207,0,0,0,0
"WDO","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",332,332,"12,747","1,471",332,332,"12,747","1,471","15,833","15,833"
"WDO","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,656,408","6,656,408","6,182,424","6,182,424","6,656,408","6,656,408","6,182,424","6,182,424","5,666,405","5,666,405"
"WDO","(S)",999,"Contributions à la fondation Rick Hansen","Contributions to the Rick Hansen Foundation","18,000,000","18,000,000","4,500,000","4,500,000","18,000,000","18,000,000","4,500,000","4,500,000","4,500,000","4,500,000"
"ZGOC",,,"Total des dépenses budgétaires votées","Voted Budgetary Expenditures","104,281,201,649","92,636,171,227","99,894,737,416","89,717,871,421","104,281,201,649","92,636,171,227","99,894,737,416","89,717,871,421","98,646,872,817","87,708,965,709"
"ZGOC",,,"Total des dépenses budgétaires législatives","Statutory Budgetay Expenditures","141,948,215,143","140,358,861,909","139,894,870,231","138,514,961,230","141,948,215,143","140,358,861,909","139,894,870,231","138,514,961,230","141,513,150,552","140,108,457,342"
"ZGOC",,,"Total des dépenses budgétaires","Total Budgetary Expenditures","246,229,416,792","232,995,033,136","239,789,607,647","228,232,832,651","246,229,416,792","232,995,033,136","239,789,607,647","228,232,832,651","240,160,023,369","227,817,423,051"
